152076 silly lifecycle babel-plugin-transform-regenerator@6.21.0~preinstall: no script for preinstall, continuing
155520 silly build longest@1.0.1
155521 info linkStuff longest@1.0.1
155522 silly linkStuff longest@1.0.1 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155523 verbose linkBins longest@1.0.1
155524 verbose linkMans longest@1.0.1
155525 silly build loose-envify@1.3.0
155526 info linkStuff loose-envify@1.3.0
155527 silly linkStuff loose-envify@1.3.0 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155528 verbose linkBins loose-envify@1.3.0
155529 verbose link bins [ { 'loose-envify': 'cli.js' },
155529 verbose link bins   'C:\\Users\\doomster\\Projetos\\courseMEAN\\client\\node_modules\\.bin',
155529 verbose link bins   false ]
155530 verbose linkMans loose-envify@1.3.0
155531 silly build invariant@2.2.2
155532 info linkStuff invariant@2.2.2
155533 silly linkStuff invariant@2.2.2 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155534 verbose linkBins invariant@2.2.2
155535 verbose linkMans invariant@2.2.2
155536 silly build lower-case@1.1.3
155537 info linkStuff lower-case@1.1.3
155538 silly linkStuff lower-case@1.1.3 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155539 verbose linkBins lower-case@1.1.3
155540 verbose linkMans lower-case@1.1.3
155541 silly build is-lower-case@1.1.3
155542 info linkStuff is-lower-case@1.1.3
155543 silly linkStuff is-lower-case@1.1.3 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155544 verbose linkBins is-lower-case@1.1.3
155545 verbose linkMans is-lower-case@1.1.3
155546 silly build lower-case-first@1.0.2
155547 info linkStuff lower-case-first@1.0.2
155548 silly linkStuff lower-case-first@1.0.2 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155549 verbose linkBins lower-case-first@1.0.2
155550 verbose linkMans lower-case-first@1.0.2
155551 silly build lru-cache@2.7.3
155552 info linkStuff lru-cache@2.7.3
155553 silly linkStuff lru-cache@2.7.3 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155554 verbose linkBins lru-cache@2.7.3
155555 verbose linkMans lru-cache@2.7.3
155556 silly build macaddress@0.2.8
155557 info linkStuff macaddress@0.2.8
155558 silly linkStuff macaddress@0.2.8 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155559 verbose linkBins macaddress@0.2.8
155560 verbose linkMans macaddress@0.2.8
155561 silly build clone@0.2.0
155562 info linkStuff clone@0.2.0
155563 silly linkStuff clone@0.2.0 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules\main-bower-files\node_modules as its parent node_modules
155564 verbose linkBins clone@0.2.0
155565 verbose linkMans clone@0.2.0
155566 silly build extend@2.0.1
155567 info linkStuff extend@2.0.1
155568 silly linkStuff extend@2.0.1 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules\main-bower-files\node_modules as its parent node_modules
155569 verbose linkBins extend@2.0.1
155570 verbose linkMans extend@2.0.1
155571 silly build isarray@0.0.1
155572 info linkStuff isarray@0.0.1
155573 silly linkStuff isarray@0.0.1 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules\main-bower-files\node_modules as its parent node_modules
155574 verbose linkBins isarray@0.0.1
155575 verbose linkMans isarray@0.0.1
155576 silly build object-assign@3.0.0
155577 info linkStuff object-assign@3.0.0
155578 silly linkStuff object-assign@3.0.0 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules\main-bower-files\node_modules as its parent node_modules
155579 verbose linkBins object-assign@3.0.0
155580 verbose linkMans object-assign@3.0.0
155581 silly build vinyl@0.4.6
155582 info linkStuff vinyl@0.4.6
155583 silly linkStuff vinyl@0.4.6 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules\main-bower-files\node_modules as its parent node_modules
155584 verbose linkBins vinyl@0.4.6
155585 verbose linkMans vinyl@0.4.6
155586 silly build object-assign@2.1.1
155587 info linkStuff object-assign@2.1.1
155588 silly linkStuff object-assign@2.1.1 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules\main-bower-files\node_modules\vinyl-fs\node_modules as its parent node_modules
155589 verbose linkBins object-assign@2.1.1
155590 verbose linkMans object-assign@2.1.1
155591 silly build map-cache@0.2.2
155592 info linkStuff map-cache@0.2.2
155593 silly linkStuff map-cache@0.2.2 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155594 verbose linkBins map-cache@0.2.2
155595 verbose linkMans map-cache@0.2.2
155596 silly build map-obj@1.0.1
155597 info linkStuff map-obj@1.0.1
155598 silly linkStuff map-obj@1.0.1 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155599 verbose linkBins map-obj@1.0.1
155600 verbose linkMans map-obj@1.0.1
155601 silly build camelcase-keys@1.0.0
155602 info linkStuff camelcase-keys@1.0.0
155603 silly linkStuff camelcase-keys@1.0.0 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155604 verbose linkBins camelcase-keys@1.0.0
155605 verbose linkMans camelcase-keys@1.0.0
155606 silly build map-stream@0.1.0
155607 info linkStuff map-stream@0.1.0
155608 silly linkStuff map-stream@0.1.0 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155609 verbose linkBins map-stream@0.1.0
155610 verbose linkMans map-stream@0.1.0
155611 silly build math-expression-evaluator@1.2.14
155612 info linkStuff math-expression-evaluator@1.2.14
155613 silly linkStuff math-expression-evaluator@1.2.14 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155614 verbose linkBins math-expression-evaluator@1.2.14
155615 verbose linkMans math-expression-evaluator@1.2.14
155616 silly build media-typer@0.3.0
155617 info linkStuff media-typer@0.3.0
155618 silly linkStuff media-typer@0.3.0 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155619 verbose linkBins media-typer@0.3.0
155620 verbose linkMans media-typer@0.3.0
155621 silly build memory-fs@0.2.0
155622 info linkStuff memory-fs@0.2.0
155623 silly linkStuff memory-fs@0.2.0 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155624 verbose linkBins memory-fs@0.2.0
155625 verbose linkMans memory-fs@0.2.0
155626 silly build minimist@1.2.0
155627 info linkStuff minimist@1.2.0
155628 silly linkStuff minimist@1.2.0 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules\meow\node_modules as its parent node_modules
155629 verbose linkBins minimist@1.2.0
155630 verbose linkMans minimist@1.2.0
155631 silly build object-assign@3.0.0
155632 info linkStuff object-assign@3.0.0
155633 silly linkStuff object-assign@3.0.0 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules\meow\node_modules as its parent node_modules
155634 verbose linkBins object-assign@3.0.0
155635 verbose linkMans object-assign@3.0.0
155636 silly build mime@1.2.4
155637 info linkStuff mime@1.2.4
155638 silly linkStuff mime@1.2.4 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155639 verbose linkBins mime@1.2.4
155640 verbose linkMans mime@1.2.4
155641 silly build mime-db@1.25.0
155642 info linkStuff mime-db@1.25.0
155643 silly linkStuff mime-db@1.25.0 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155644 verbose linkBins mime-db@1.25.0
155645 verbose linkMans mime-db@1.25.0
155646 silly build mime-types@2.1.13
155647 info linkStuff mime-types@2.1.13
155648 silly linkStuff mime-types@2.1.13 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155649 verbose linkBins mime-types@2.1.13
155650 verbose linkMans mime-types@2.1.13
155651 silly build form-data@2.1.2
155652 info linkStuff form-data@2.1.2
155653 silly linkStuff form-data@2.1.2 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155654 verbose linkBins form-data@2.1.2
155655 verbose linkMans form-data@2.1.2
155656 silly build minimatch@2.0.10
155657 info linkStuff minimatch@2.0.10
155658 silly linkStuff minimatch@2.0.10 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155659 verbose linkBins minimatch@2.0.10
155660 verbose linkMans minimatch@2.0.10
155661 silly build resp-modifier@4.0.4
155662 info linkStuff resp-modifier@4.0.4
155663 silly linkStuff resp-modifier@4.0.4 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules\foxy\node_modules as its parent node_modules
155664 verbose linkBins resp-modifier@4.0.4
155665 verbose linkMans resp-modifier@4.0.4
155666 silly build multimatch@2.0.0
155667 info linkStuff multimatch@2.0.0
155668 silly linkStuff multimatch@2.0.0 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules\gulp-load-plugins\node_modules as its parent node_modules
155669 verbose linkBins multimatch@2.0.0
155670 verbose linkMans multimatch@2.0.0
155671 silly build minimist@0.0.8
155672 info linkStuff minimist@0.0.8
155673 silly linkStuff minimist@0.0.8 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155674 verbose linkBins minimist@0.0.8
155675 verbose linkMans minimist@0.0.8
155676 silly build mkdirp@0.5.0
155677 info linkStuff mkdirp@0.5.0
155678 silly linkStuff mkdirp@0.5.0 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules\extract-zip\node_modules as its parent node_modules
155679 verbose linkBins mkdirp@0.5.0
155680 verbose link bins [ { mkdirp: 'bin/cmd.js' },
155680 verbose link bins   'C:\\Users\\doomster\\Projetos\\courseMEAN\\client\\node_modules\\extract-zip\\node_modules\\.bin',
155680 verbose link bins   false ]
155681 verbose linkMans mkdirp@0.5.0
155682 silly build mkdirp@0.5.1
155683 info linkStuff mkdirp@0.5.1
155684 silly linkStuff mkdirp@0.5.1 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155685 verbose linkBins mkdirp@0.5.1
155686 verbose link bins [ { mkdirp: 'bin/cmd.js' },
155686 verbose link bins   'C:\\Users\\doomster\\Projetos\\courseMEAN\\client\\node_modules\\.bin',
155686 verbose link bins   false ]
155687 verbose linkMans mkdirp@0.5.1
155688 silly build modify-filename@1.1.0
155689 info linkStuff modify-filename@1.1.0
155690 silly linkStuff modify-filename@1.1.0 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155691 verbose linkBins modify-filename@1.1.0
155692 verbose linkMans modify-filename@1.1.0
155693 silly build mout@0.9.1
155694 info linkStuff mout@0.9.1
155695 silly linkStuff mout@0.9.1 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155696 verbose linkBins mout@0.9.1
155697 verbose linkMans mout@0.9.1
155698 silly build ms@0.7.2
155699 info linkStuff ms@0.7.2
155700 silly linkStuff ms@0.7.2 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155701 verbose linkBins ms@0.7.2
155702 verbose linkMans ms@0.7.2
155703 silly build debug@2.4.5
155704 info linkStuff debug@2.4.5
155705 silly linkStuff debug@2.4.5 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155706 verbose linkBins debug@2.4.5
155707 verbose linkMans debug@2.4.5
155708 silly build array-index@1.0.0
155709 info linkStuff array-index@1.0.0
155710 silly linkStuff array-index@1.0.0 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155711 verbose linkBins array-index@1.0.0
155712 verbose linkMans array-index@1.0.0
155713 silly build https-proxy-agent@1.0.0
155714 info linkStuff https-proxy-agent@1.0.0
155715 silly linkStuff https-proxy-agent@1.0.0 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155716 verbose linkBins https-proxy-agent@1.0.0
155717 verbose linkMans https-proxy-agent@1.0.0
155718 silly build debug@2.3.3
155719 info linkStuff debug@2.3.3
155720 silly linkStuff debug@2.3.3 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules\engine.io-client\node_modules as its parent node_modules
155721 verbose linkBins debug@2.3.3
155722 verbose linkMans debug@2.3.3
155723 silly build debug@2.3.3
155724 info linkStuff debug@2.3.3
155725 silly linkStuff debug@2.3.3 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules\engine.io\node_modules as its parent node_modules
155726 verbose linkBins debug@2.3.3
155727 verbose linkMans debug@2.3.3
155728 silly build minimatch@3.0.3
155729 info linkStuff minimatch@3.0.3
155730 silly linkStuff minimatch@3.0.3 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules\multimatch\node_modules as its parent node_modules
155731 verbose linkBins minimatch@3.0.3
155732 verbose linkMans minimatch@3.0.3
155733 silly build multimatch@2.1.0
155734 info linkStuff multimatch@2.1.0
155735 silly linkStuff multimatch@2.1.0 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155736 verbose linkBins multimatch@2.1.0
155737 verbose linkMans multimatch@2.1.0
155738 silly build mute-stream@0.0.5
155739 info linkStuff mute-stream@0.0.5
155740 silly linkStuff mute-stream@0.0.5 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155741 verbose linkBins mute-stream@0.0.5
155742 verbose linkMans mute-stream@0.0.5
155743 silly build nan@2.4.0
155744 info linkStuff nan@2.4.0
155745 silly linkStuff nan@2.4.0 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155746 verbose linkBins nan@2.4.0
155747 verbose linkMans nan@2.4.0
155748 silly build bufferutil@1.2.1
155749 info linkStuff bufferutil@1.2.1
155750 silly linkStuff bufferutil@1.2.1 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155751 verbose linkBins bufferutil@1.2.1
155752 verbose linkMans bufferutil@1.2.1
155753 silly build natives@1.1.0
155754 info linkStuff natives@1.1.0
155755 silly linkStuff natives@1.1.0 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155756 verbose linkBins natives@1.1.0
155757 verbose linkMans natives@1.1.0
155758 silly build graceful-fs@3.0.11
155759 info linkStuff graceful-fs@3.0.11
155760 silly linkStuff graceful-fs@3.0.11 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules\main-bower-files\node_modules as its parent node_modules
155761 verbose linkBins graceful-fs@3.0.11
155762 verbose linkMans graceful-fs@3.0.11
155763 silly build negotiator@0.6.1
155764 info linkStuff negotiator@0.6.1
155765 silly linkStuff negotiator@0.6.1 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155766 verbose linkBins negotiator@0.6.1
155767 verbose linkMans negotiator@0.6.1
155768 silly build accepts@1.3.3
155769 info linkStuff accepts@1.3.3
155770 silly linkStuff accepts@1.3.3 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155771 verbose linkBins accepts@1.3.3
155772 verbose linkMans accepts@1.3.3
155773 silly build source-map@0.4.2
155774 info linkStuff source-map@0.4.2
155775 silly linkStuff source-map@0.4.2 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules\ng-annotate-loader\node_modules as its parent node_modules
155776 verbose linkBins source-map@0.4.2
155777 verbose linkMans source-map@0.4.2
155778 silly build convert-source-map@1.1.3
155779 info linkStuff convert-source-map@1.1.3
155780 silly linkStuff convert-source-map@1.1.3 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules\ng-annotate\node_modules as its parent node_modules
155781 verbose linkBins convert-source-map@1.1.3
155782 verbose linkMans convert-source-map@1.1.3
155783 silly build minimatch@3.0.3
155784 info linkStuff minimatch@3.0.3
155785 silly linkStuff minimatch@3.0.3 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules\node-gyp\node_modules as its parent node_modules
155786 verbose linkBins minimatch@3.0.3
155787 verbose linkMans minimatch@3.0.3
155788 silly build camelcase@2.1.1
155789 info linkStuff camelcase@2.1.1
155790 silly linkStuff camelcase@2.1.1 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules\node-sass\node_modules as its parent node_modules
155791 verbose linkBins camelcase@2.1.1
155792 verbose linkMans camelcase@2.1.1
155793 silly build camelcase-keys@2.1.0
155794 info linkStuff camelcase-keys@2.1.0
155795 silly linkStuff camelcase-keys@2.1.0 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules\node-sass\node_modules as its parent node_modules
155796 verbose linkBins camelcase-keys@2.1.0
155797 verbose linkMans camelcase-keys@2.1.0
155798 silly build lodash@4.16.6
155799 info linkStuff lodash@4.16.6
155800 silly linkStuff lodash@4.16.6 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules\node-sass\node_modules as its parent node_modules
155801 verbose linkBins lodash@4.16.6
155802 verbose linkMans lodash@4.16.6
155803 silly build lodash.clonedeep@4.5.0
155804 info linkStuff lodash.clonedeep@4.5.0
155805 silly linkStuff lodash.clonedeep@4.5.0 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules\node-sass\node_modules as its parent node_modules
155806 verbose linkBins lodash.clonedeep@4.5.0
155807 verbose linkMans lodash.clonedeep@4.5.0
155808 silly build minimatch@3.0.3
155809 info linkStuff minimatch@3.0.3
155810 silly linkStuff minimatch@3.0.3 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules\node-sass\node_modules as its parent node_modules
155811 verbose linkBins minimatch@3.0.3
155812 verbose linkMans minimatch@3.0.3
155813 silly build minimist@1.2.0
155814 info linkStuff minimist@1.2.0
155815 silly linkStuff minimist@1.2.0 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules\node-sass\node_modules as its parent node_modules
155816 verbose linkBins minimist@1.2.0
155817 verbose linkMans minimist@1.2.0
155818 silly build node-uuid@1.4.7
155819 info linkStuff node-uuid@1.4.7
155820 silly linkStuff node-uuid@1.4.7 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155821 verbose linkBins node-uuid@1.4.7
155822 verbose link bins [ { uuid: './bin/uuid' },
155822 verbose link bins   'C:\\Users\\doomster\\Projetos\\courseMEAN\\client\\node_modules\\.bin',
155822 verbose link bins   false ]
155823 verbose linkMans node-uuid@1.4.7
155824 silly build nopt@3.0.6
155825 info linkStuff nopt@3.0.6
155826 silly linkStuff nopt@3.0.6 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155827 verbose linkBins nopt@3.0.6
155828 verbose link bins [ { nopt: './bin/nopt.js' },
155828 verbose link bins   'C:\\Users\\doomster\\Projetos\\courseMEAN\\client\\node_modules\\.bin',
155828 verbose link bins   false ]
155829 verbose linkMans nopt@3.0.6
155830 silly build normalize-path@2.0.1
155831 info linkStuff normalize-path@2.0.1
155832 silly linkStuff normalize-path@2.0.1 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155833 verbose linkBins normalize-path@2.0.1
155834 verbose linkMans normalize-path@2.0.1
155835 silly build normalize-range@0.1.2
155836 info linkStuff normalize-range@0.1.2
155837 silly linkStuff normalize-range@0.1.2 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155838 verbose linkBins normalize-range@0.1.2
155839 verbose linkMans normalize-range@0.1.2
155840 silly build supports-color@0.2.0
155841 info linkStuff supports-color@0.2.0
155842 silly linkStuff supports-color@0.2.0 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules\npmlog\node_modules as its parent node_modules
155843 verbose linkBins supports-color@0.2.0
155844 verbose link bins [ { 'supports-color': 'cli.js' },
155844 verbose link bins   'C:\\Users\\doomster\\Projetos\\courseMEAN\\client\\node_modules\\npmlog\\node_modules\\.bin',
155844 verbose link bins   false ]
155845 verbose linkMans supports-color@0.2.0
155846 silly build num2fraction@1.2.2
155847 info linkStuff num2fraction@1.2.2
155848 silly linkStuff num2fraction@1.2.2 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155849 verbose linkBins num2fraction@1.2.2
155850 verbose linkMans num2fraction@1.2.2
155851 silly build number-is-nan@1.0.1
155852 info linkStuff number-is-nan@1.0.1
155853 silly linkStuff number-is-nan@1.0.1 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155854 verbose linkBins number-is-nan@1.0.1
155855 verbose linkMans number-is-nan@1.0.1
155856 silly build dargs@4.0.1
155857 info linkStuff dargs@4.0.1
155858 silly linkStuff dargs@4.0.1 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155859 verbose linkBins dargs@4.0.1
155860 verbose linkMans dargs@4.0.1
155861 silly build is-finite@1.0.2
155862 info linkStuff is-finite@1.0.2
155863 silly linkStuff is-finite@1.0.2 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155864 verbose linkBins is-finite@1.0.2
155865 verbose linkMans is-finite@1.0.2
155866 silly build repeating@1.1.3
155867 info linkStuff repeating@1.1.3
155868 silly linkStuff repeating@1.1.3 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules\indent-string\node_modules as its parent node_modules
155869 verbose linkBins repeating@1.1.3
155870 verbose link bins [ { repeating: 'cli.js' },
155870 verbose link bins   'C:\\Users\\doomster\\Projetos\\courseMEAN\\client\\node_modules\\indent-string\\node_modules\\.bin',
155870 verbose link bins   false ]
155871 verbose linkMans repeating@1.1.3
155872 silly build indent-string@1.2.2
155873 info linkStuff indent-string@1.2.2
155874 silly linkStuff indent-string@1.2.2 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155875 verbose linkBins indent-string@1.2.2
155876 verbose link bins [ { 'indent-string': 'cli.js' },
155876 verbose link bins   'C:\\Users\\doomster\\Projetos\\courseMEAN\\client\\node_modules\\.bin',
155876 verbose link bins   false ]
155877 verbose linkMans indent-string@1.2.2
155878 silly build meow@3.3.0
155879 info linkStuff meow@3.3.0
155880 silly linkStuff meow@3.3.0 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155881 verbose linkBins meow@3.3.0
155882 verbose linkMans meow@3.3.0
155883 silly build dateformat@1.0.12
155884 info linkStuff dateformat@1.0.12
155885 silly linkStuff dateformat@1.0.12 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155886 verbose linkBins dateformat@1.0.12
155887 verbose link bins [ { dateformat: 'bin/cli.js' },
155887 verbose link bins   'C:\\Users\\doomster\\Projetos\\courseMEAN\\client\\node_modules\\.bin',
155887 verbose link bins   false ]
155888 verbose linkMans dateformat@1.0.12
155889 silly build is-fullwidth-code-point@1.0.0
155890 info linkStuff is-fullwidth-code-point@1.0.0
155891 silly linkStuff is-fullwidth-code-point@1.0.0 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155892 verbose linkBins is-fullwidth-code-point@1.0.0
155893 verbose linkMans is-fullwidth-code-point@1.0.0
155894 silly build oauth-sign@0.8.2
155895 info linkStuff oauth-sign@0.8.2
155896 silly linkStuff oauth-sign@0.8.2 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155897 verbose linkBins oauth-sign@0.8.2
155898 verbose linkMans oauth-sign@0.8.2
155899 silly build object-assign@4.1.0
155900 info linkStuff object-assign@4.1.0
155901 silly linkStuff object-assign@4.1.0 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155902 verbose linkBins object-assign@4.1.0
155903 verbose linkMans object-assign@4.1.0
155904 silly build esrecurse@4.1.0
155905 info linkStuff esrecurse@4.1.0
155906 silly linkStuff esrecurse@4.1.0 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155907 verbose linkBins esrecurse@4.1.0
155908 verbose linkMans esrecurse@4.1.0
155909 silly build escope@3.6.0
155910 info linkStuff escope@3.6.0
155911 silly linkStuff escope@3.6.0 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155912 verbose linkBins escope@3.6.0
155913 verbose linkMans escope@3.6.0
155914 silly build figures@1.7.0
155915 info linkStuff figures@1.7.0
155916 silly linkStuff figures@1.7.0 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155917 verbose linkBins figures@1.7.0
155918 verbose linkMans figures@1.7.0
155919 silly build loader-utils@0.2.16
155920 info linkStuff loader-utils@0.2.16
155921 silly linkStuff loader-utils@0.2.16 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155922 verbose linkBins loader-utils@0.2.16
155923 verbose linkMans loader-utils@0.2.16
155924 silly build object-component@0.0.3
155925 info linkStuff object-component@0.0.3
155926 silly linkStuff object-component@0.0.3 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155927 verbose linkBins object-component@0.0.3
155928 verbose linkMans object-component@0.0.3
155929 silly build object-path@0.9.2
155930 info linkStuff object-path@0.9.2
155931 silly linkStuff object-path@0.9.2 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155932 verbose linkBins object-path@0.9.2
155933 verbose linkMans object-path@0.9.2
155934 silly build object.omit@2.0.1
155935 info linkStuff object.omit@2.0.1
155936 silly linkStuff object.omit@2.0.1 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155937 verbose linkBins object.omit@2.0.1
155938 verbose linkMans object.omit@2.0.1
155939 silly build on-finished@2.3.0
155940 info linkStuff on-finished@2.3.0
155941 silly linkStuff on-finished@2.3.0 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155942 verbose linkBins on-finished@2.3.0
155943 verbose linkMans on-finished@2.3.0
155944 silly build onetime@1.1.0
155945 info linkStuff onetime@1.1.0
155946 silly linkStuff onetime@1.1.0 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155947 verbose linkBins onetime@1.1.0
155948 verbose linkMans onetime@1.1.0
155949 silly build openurl@1.1.0
155950 info linkStuff openurl@1.1.0
155951 silly linkStuff openurl@1.1.0 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155952 verbose linkBins openurl@1.1.0
155953 verbose linkMans openurl@1.1.0
155954 silly build opn@3.0.3
155955 info linkStuff opn@3.0.3
155956 silly linkStuff opn@3.0.3 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155957 verbose linkBins opn@3.0.3
155958 verbose linkMans opn@3.0.3
155959 silly build minimist@1.2.0
155960 info linkStuff minimist@1.2.0
155961 silly linkStuff minimist@1.2.0 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules\opt-merger\node_modules as its parent node_modules
155962 verbose linkBins minimist@1.2.0
155963 verbose linkMans minimist@1.2.0
155964 silly build opt-merger@1.1.1
155965 info linkStuff opt-merger@1.1.1
155966 silly linkStuff opt-merger@1.1.1 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155967 verbose linkBins opt-merger@1.1.1
155968 verbose linkMans opt-merger@1.1.1
155969 silly build options@0.0.6
155970 info linkStuff options@0.0.6
155971 silly linkStuff options@0.0.6 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155972 verbose linkBins options@0.0.6
155973 verbose linkMans options@0.0.6
155974 silly build ordered-esprima-props@1.1.0
155975 info linkStuff ordered-esprima-props@1.1.0
155976 silly linkStuff ordered-esprima-props@1.1.0 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155977 verbose linkBins ordered-esprima-props@1.1.0
155978 verbose linkMans ordered-esprima-props@1.1.0
155979 silly build ordered-ast-traverse@1.1.1
155980 info linkStuff ordered-ast-traverse@1.1.1
155981 silly linkStuff ordered-ast-traverse@1.1.1 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
155982 verbose linkBins ordered-ast-traverse@1.1.1
155983 verbose linkMans ordered-ast-traverse@1.1.1
155984 silly build ordered-read-streams@0.1.0
155985 info linkStuff ordered-read-streams@0.1.0
155986 silly linkStuff ordered-read-streams@0.1.0 has C:\Users\doomster\Projetos\courseMEAN\client\node_modules as its parent node_modules
